Date,Open,High,Low,Close,Volume
23-Feb-18,80.95,81.20,79.89,80.39,5174060
22-Feb-18,80.91,81.81,80.21,80.41,4528158
21-Feb-18,81.43,81.70,80.22,80.72,6805681
20-Feb-18,83.14,83.37,80.87,81.61,11125874
16-Feb-18,82.80,83.76,82.12,83.31,6863522
15-Feb-18,82.41,82.98,81.95,82.94,4002043
14-Feb-18,79.72,82.06,79.63,81.86,5000029
13-Feb-18,79.85,80.59,79.35,80.22,4574599
12-Feb-18,79.71,80.75,79.25,80.24,4314124
9-Feb-18,78.88,80.08,77.56,79.48,6061791
8-Feb-18,81.33,81.51,78.35,78.38,7346112
7-Feb-18,81.40,82.96,81.29,81.35,5929949
6-Feb-18,80.06,82.06,79.09,81.67,10189952
5-Feb-18,84.07,84.58,80.92,81.42,7237232
2-Feb-18,84.67,85.25,84.36,84.45,5564450
1-Feb-18,85.38,85.68,84.63,84.98,4201568
31-Jan-18,86.33,86.50,85.62,85.89,5258347
30-Jan-18,85.93,86.72,85.75,85.96,3881748
29-Jan-18,86.85,87.30,86.32,86.72,3804924
26-Jan-18,86.86,87.18,86.36,87.12,3815102
25-Jan-18,85.99,86.98,85.66,86.82,3947842
24-Jan-18,85.83,86.13,85.16,85.76,5680191
23-Jan-18,86.22,86.22,84.98,85.23,4962269
22-Jan-18,86.42,86.56,85.40,86.05,5926903
19-Jan-18,87.58,87.90,86.03,86.68,7314796
18-Jan-18,86.16,87.93,85.95,87.26,7328569
17-Jan-18,85.88,86.44,85.44,86.11,5448986
16-Jan-18,85.58,86.13,84.87,85.32,5428238
12-Jan-18,85.85,85.99,85.30,85.45,5085912
11-Jan-18,85.94,85.94,85.08,85.73,3930314
10-Jan-18,85.55,85.99,84.52,85.49,3575338
9-Jan-18,85.86,86.75,85.66,85.88,6100659
8-Jan-18,85.50,85.69,85.20,85.51,6117565
5-Jan-18,84.53,85.74,84.01,85.54,7428487
4-Jan-18,84.45,84.90,83.14,84.12,5943173
3-Jan-18,82.20,84.82,82.17,83.92,6879067
2-Jan-18,82.16,82.69,81.95,82.21,4783475
29-Dec-17,81.58,81.80,80.73,80.75,3259884
28-Dec-17,81.33,81.58,81.08,81.34,2859752
27-Dec-17,81.63,81.93,81.44,81.76,2463076
26-Dec-17,81.57,81.88,81.39,81.47,1923055
22-Dec-17,81.56,81.96,81.27,81.54,3187505
21-Dec-17,81.54,82.46,81.36,81.48,4051182
20-Dec-17,82.39,82.97,81.29,81.38,3769402
19-Dec-17,83.72,84.11,82.00,82.04,5096508
18-Dec-17,83.61,83.78,83.08,83.43,5204169
15-Dec-17,82.44,83.70,82.44,83.50,9813131
14-Dec-17,81.95,82.48,81.72,81.83,5000717
13-Dec-17,81.80,82.16,81.53,81.92,4473330
12-Dec-17,82.00,82.69,81.80,82.00,4966525
11-Dec-17,81.20,81.54,80.85,81.27,3501371
8-Dec-17,81.07,81.12,80.54,81.07,4106432
7-Dec-17,81.61,82.09,80.29,80.57,5497507
6-Dec-17,81.57,81.80,80.92,81.50,5192142
5-Dec-17,79.57,81.47,79.57,80.92,5392208
4-Dec-17,81.32,81.37,79.74,79.87,8687762
1-Dec-17,82.46,82.57,80.61,81.27,5993062
30-Nov-17,82.66,82.78,82.04,82.13,5663856
29-Nov-17,82.31,82.98,81.97,82.11,3945458
28-Nov-17,81.67,82.58,81.36,82.46,5773680
27-Nov-17,83.26,83.54,81.06,81.41,6346517
24-Nov-17,82.69,83.50,82.61,83.25,3165628
22-Nov-17,82.76,82.97,82.05,82.34,5303292
21-Nov-17,83.00,84.11,82.50,82.66,11003993
